x
Stat,Value
25%,-9.9946315
50%,-0.25233898
75%,9.4897805
count,200.0
max,17.505108
mean,-0.2515803346
min,-18.01697
std,11.064155535
y
Stat,Value
25%,-0.066175756
50%,-0.044376623
75%,-0.0117969379
count,200.0
max,0.34773317
mean,-0.0271366916
min,-0.30743968
std,0.1085039689
